PK_KB_INST,Universitäten
3706,Augustana-Hochschule Neuendettelsau
139,Burg Giebichenstein Kunsthochschule Halle
5355,CCC Comprehensive Cancer Center
5370,Heidelberg Graduate School of Fundamental Physics
4745,Hochschule für Musik Detmold
4630,Hochschule für Musik Hanns Eisler Berlin
4427,Hochschule für Musik und Theater München
4424,Hochschule für Musik und Theater Rostock
126,"Hochschule für Musik, Theater und Medien Hannover"
4631,Hochschule für Schauspielkunst Ernst Busch
4423,Kunsthochschule für Medien Köln
4105,Musikhochschule Lübeck
145,Pädagogische Hochschule Freiburg
128,Pädagogische Hochschule Heidelberg
4524,Pädagogische Hochschule Karlsruhe
110,Pädagogische Hochschule Ludwigsburg
90,Pädagogische Hochschule Schwäbisch Gmünd
81,Pädagogische Hochschule Weingarten
5140,Restkategorie Universitätskliniken München
4402,Staatliche Hochschule für Musik Freiburg im Breisgau
3707,Theologische Fakultät Paderborn
171,Universität der Künste Berlin
5160,Universitäts Herzzentrum Freiburg Bad Krozingen
1766,Universitätsklinikum Gießen und Marburg GmbH - UGKM
2862,Universitätsklinikum Schleswig-Holstein (UKSH)
