INST_NAME,n_total,is_oa,publisher,repository,full_oa_journal,other_oa_journal,opendoar_inst,opendoar_subject,opendoar_other,other_repo
Fraunhofer Institut für Bauphysik,165,0.1393939393939394,0.09696969696969697,0.11515151515151516,0.05454545454545454,0.04242424242424243,0.07272727272727272,0.01818181818181818,0.024242424242424242,0.05454545454545454
Fraunhofer Institut für Chemische Technologie,440,0.15909090909090906,0.11818181818181818,0.10909090909090909,0.05227272727272727,0.0659090909090909,0.04090909090909091,0.06363636363636363,0.013636363636363636,0.05454545454545454
Fraunhofer MEVIS,351,0.3931623931623932,0.25925925925925924,0.3561253561253561,0.14814814814814814,0.1111111111111111,0.1623931623931624,0.2564102564102564,0.042735042735042736,0.1396011396011396
Fraunhofer-Center für Silizium-Photovoltaik CSP,96,0.23958333333333337,0.08333333333333333,0.22916666666666666,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.09375,0.03125,0.10416666666666667
Fraunhofer-Center Nanoelektronische Technologien,88,0.045454545454545414,0,0.045454545454545456,0,0,0.022727272727272728,0,0.03409090909090909,0.011363636363636364
Fraunhofer-Einrichtung für Angewandte und Integrierte Sicherheit,12,0.41666666666666663,0.16666666666666666,0.4166666666666667,0.16666666666666666,0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Fraunhofer-Einrichtung für Marine Biotechnologie,50,0.6799999999999999,0.6,0.52,0.44,0.16,0.22,0.34,0.1,0.3
Fraunhofer-Einrichtung für Modulare Festkörper-Technologien EMFT,28,0.3214285714285714,0.17857142857142858,0.2857142857142857,0.10714285714285714,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.17857142857142858
"Fraunhofer-Einrichtung für Organik, Materialien und Elektronische Bauelemente COMEDD",19,0.052631578947368474,0,0.05263157894736842,0,0,0.05263157894736842,0,0,0.05263157894736842
Fraunhofer-Einrichtung für Systeme der Kommunikationstechnik,8,0.75,0.125,0.625,0.125,0,0,0.625,0,0
Fraunhofer-Institut für Algorithmen und Wissenschaftliches Rechnen SCAI,174,0.4885057471264368,0.3505747126436782,0.4367816091954023,0.21264367816091953,0.13793103448275862,0.1206896551724138,0.3160919540229885,0.04597701149425287,0.1781609195402299
Fraunhofer-Institut für Angewandte Festkörperphysik,461,0.12798264642082424,0.052060737527114966,0.11279826464208242,0.03036876355748373,0.021691973969631236,0.05639913232104121,0.049891540130151846,0.013015184381778741,0.0455531453362256
Fraunhofer-Institut für Angewandte Informationstechnik,64,0.296875,0.125,0.234375,0.0625,0.0625,0.125,0.0625,0.046875,0.078125
Fraunhofer-Institut für Angewandte Optik und Feinmechanik,614,0.24104234527687296,0.1237785016286645,0.19381107491856678,0.0749185667752443,0.048859934853420196,0.0781758957654723,0.08306188925081433,0.03908794788273615,0.0749185667752443
Fraunhofer-Institut für Angewandte Polymerforschung (IAP),419,0.1766109785202864,0.10501193317422435,0.16945107398568018,0.07398568019093078,0.031026252983293555,0.0477326968973747,0.07875894988066826,0.02386634844868735,0.11217183770883055
Fraunhofer-Institut für Arbeitswirtschaft und Organisation,42,0.3571428571428571,0.19047619047619047,0.2619047619047619,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.023809523809523808,0.047619047619047616,0.14285714285714285
Fraunhofer-Institut für Betriebsfestigkeit und Systemzuverlässigkeit,342,0.07894736842105265,0.029239766081871343,0.06432748538011696,0.017543859649122806,0.011695906432748537,0.023391812865497075,0.008771929824561403,0.011695906432748537,0.03216374269005848
