INST_NAME,n_total,is_oa,publisher,repository,full_oa_journal,other_oa_journal,opendoar_inst,opendoar_subject,opendoar_other,other_repo
Fraunhofer-Institut für Biomedizinische Technik St. Ingbert und Sulzbach,320,0.328125,0.271875,0.2625,0.165625,0.10625,0.059375,0.215625,0.021875,0.115625
Fraunhofer-Institut für Digitale Medientechnologie,66,0.28787878787878785,0.16666666666666666,0.19696969696969696,0.15151515151515152,0.015151515151515152,0.030303030303030304,0.10606060606060606,0.045454545454545456,0.13636363636363635
Fraunhofer-Institut für Elektronenstrahl- und Plasmatechnik,81,0.14814814814814814,0.08641975308641975,0.13580246913580246,0.04938271604938271,0.037037037037037035,0.04938271604938271,0.04938271604938271,0.012345679012345678,0.04938271604938271
Fraunhofer-Institut für Experimentelles Software Engineering,66,0.21212121212121215,0.09090909090909091,0.19696969696969696,0.06060606060606061,0.030303030303030304,0.15151515151515152,0.10606060606060606,0,0.045454545454545456
Fraunhofer-Institut für Fabrikbetrieb und -automatisierung,48,0.1875,0.16666666666666666,0.14583333333333334,0.125,0.041666666666666664,0.0625,0.10416666666666667,0,0.08333333333333333
Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung,457,0.15317286652078776,0.0962800875273523,0.12910284463894967,0.061269146608315096,0.0350109409190372,0.04814004376367615,0.05908096280087528,0.010940919037199124,0.06783369803063458
Fraunhofer-Institut für Graphische Datenverarbeitung,130,0.25384615384615383,0.1,0.23076923076923078,0.06153846153846154,0.038461538461538464,0.08461538461538462,0.06153846153846154,0.06923076923076923,0.07692307692307693
Fraunhofer-Institut für Grenzflächen- und Bioverfahrenstechnik,347,0.3688760806916427,0.3227665706051873,0.29971181556195964,0.1729106628242075,0.14985590778097982,0.10662824207492795,0.2334293948126801,0.01729106628242075,0.10662824207492795
Fraunhofer-Institut für Hochfrequenzphysik und Radartechnik FHR,100,0.17000000000000004,0.06,0.17,0.04,0.02,0.09,0.05,0.02,0.08
Fraunhofer-Institut für Holzforschung,164,0.1707317073170732,0.12195121951219512,0.12804878048780488,0.036585365853658534,0.08536585365853659,0.06097560975609756,0.042682926829268296,0.024390243902439025,0.036585365853658534
Fraunhofer-Institut für Integrierte Schaltungen (IIS),314,0.2993630573248408,0.17197452229299362,0.24522292993630573,0.11146496815286625,0.06050955414012739,0.10828025477707007,0.09554140127388536,0.03821656050955414,0.10509554140127389
Fraunhofer-Institut für Integrierte Systeme und Bauelementetechnologie,258,0.16279069767441856,0.05426356589147287,0.1511627906976744,0.03488372093023256,0.01937984496124031,0.08527131782945736,0.03488372093023256,0.01937984496124031,0.08914728682170543
Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme,115,0.5391304347826087,0.21739130434782608,0.4608695652173913,0.0782608695652174,0.1391304347826087,0.2782608695652174,0.11304347826086956,0.09565217391304348,0.09565217391304348
Fraunhofer-Institut für Keramische Technologien und Systeme,538,0.13568773234200748,0.10408921933085502,0.10408921933085502,0.06133828996282528,0.04275092936802974,0.046468401486988845,0.05018587360594796,0.00929368029739777,0.05018587360594796
"Fraunhofer-Institut für Kommunikation, Informationsverarbeitung und Ergonomie",96,0.23958333333333337,0.16666666666666666,0.15625,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.09375,0.020833333333333332,0.052083333333333336
"Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut (EMI)",160,0.18125000000000002,0.10625,0.13125,0.08125,0.025,0.05625,0.04375,0.025,0.05
Fraunhofer-Institut für Lasertechnik (ILT),273,0.2857142857142857,0.21611721611721613,0.19047619047619047,0.11355311355311355,0.10256410256410256,0.08058608058608059,0.029304029304029304,0.03296703296703297,0.1282051282051282
Fraunhofer-Institut für Materialfluss und Logistik,9,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0,0,0.1111111111111111
Fraunhofer-Institut für Mikroelektronische Schaltungen und Systeme (IMS),42,0.1428571428571429,0.14285714285714285,0.09523809523809523,0.14285714285714285,0,0,0.07142857142857142,0,0.09523809523809523
Fraunhofer-Institut für Molekularbiologie und Angewandte Ökologie,792,0.4747474747474747,0.4116161616161616,0.39646464646464646,0.2297979797979798,0.18181818181818182,0.17424242424242425,0.33207070707070707,0.027777777777777776,0.14267676767676768
Fraunhofer-Institut für Nachrichtentechnik Heinrich-Hertz-Institut,509,0.33005893909626716,0.1100196463654224,0.275049115913556,0.05893909626719057,0.05108055009823183,0.10019646365422397,0.12770137524557956,0.060903732809430254,0.07465618860510806
Fraunhofer-Institut für Naturwissenschaftlich-Technische Trendanalysen,51,0.21568627450980393,0.058823529411764705,0.19607843137254902,0.0392156862745098,0.0196078431372549,0.058823529411764705,0.058823529411764705,0.0196078431372549,0.0784313725490196
Fraunhofer-Institut für Offene Kommunikationssysteme,98,0.4387755102040817,0.20408163265306123,0.35714285714285715,0.07142857142857142,0.1326530612244898,0.21428571428571427,0.08163265306122448,0.04081632653061224,0.14285714285714285
"Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung IOSB",157,0.16560509554140124,0.14012738853503184,0.10828025477707007,0.07643312101910828,0.06369426751592357,0.050955414012738856,0.03821656050955414,0.01910828025477707,0.08917197452229299
Fraunhofer-Institut für Photonische Mikrosysteme,112,0.1428571428571429,0.08928571428571429,0.09821428571428571,0.044642857142857144,0.044642857142857144,0.044642857142857144,0.044642857142857144,0.008928571428571428,0.03571428571428571
Fraunhofer-Institut für Physikalische Messtechnik,233,0.2703862660944206,0.15021459227467812,0.2317596566523605,0.0944206008583691,0.055793991416309016,0.07296137339055794,0.1072961373390558,0.02145922746781116,0.12875536480686695
Fraunhofer-Institut für Produktionsanlagen und Konstruktionstechnik,79,0.07594936708860756,0.05063291139240506,0.06329113924050633,0.05063291139240506,0,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.012658227848101266
Fraunhofer-Institut für Produktionstechnik und Automatisierung,111,0.32432432432432434,0.15315315315315314,0.27927927927927926,0.0990990990990991,0.05405405405405406,0.11711711711711711,0.09009009009009009,0.06306306306306306,0.11711711711711711
Fraunhofer-Institut für Produktionstechnologie,123,0.17886178861788615,0.13821138211382114,0.0975609756097561,0.04878048780487805,0.08943089430894309,0.032520325203252036,0.04878048780487805,0.016260162601626018,0.032520325203252036
Fraunhofer-Institut für Rechnerarchitektur und Softwaretechnik,54,0.4444444444444444,0.25925925925925924,0.4074074074074074,0.14814814814814814,0.1111111111111111,0.07407407407407407,0.24074074074074073,0.1111111111111111,0.18518518518518517
Fraunhofer-Institut für Schicht- und Oberflächentechnik (IST),161,0.19875776397515532,0.13043478260869565,0.14906832298136646,0.06832298136645963,0.062111801242236024,0.055900621118012424,0.031055900621118012,0.031055900621118012,0.062111801242236024
Fraunhofer-Institut für Sichere Informationstechnologie,16,0.375,0.1875,0.1875,0,0.1875,0.125,0,0,0.0625
Fraunhofer-Institut für Silicatforschung (ISC),228,0.22368421052631582,0.17105263157894737,0.17543859649122806,0.10087719298245613,0.07017543859649122,0.08771929824561403,0.08333333333333333,0.021929824561403508,0.09649122807017543
Fraunhofer-Institut für Siliziumtechnologie (ISIT),46,0.10869565217391308,0.08695652173913043,0.08695652173913043,0.08695652173913043,0,0,0.021739130434782608,0,0.08695652173913043
Fraunhofer-Institut für Software- und Systemtechnik ISST,17,0.3529411764705882,0.29411764705882354,0.35294117647058826,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.23529411764705882,0,0.17647058823529413
Fraunhofer-Institut für Solare Energiesysteme (ISE),1123,0.1611754229741763,0.07390917186108638,0.12288512911843277,0.027604630454140695,0.04630454140694568,0.07569011576135352,0.012466607301869992,0.027604630454140695,0.04541406945681211
Fraunhofer-Institut für System- und Innovationsforschung,330,0.3303030303030303,0.12424242424242424,0.2878787878787879,0.03939393939393939,0.08484848484848485,0.16363636363636364,0.09393939393939393,0.051515151515151514,0.0696969696969697
Fraunhofer-Institut für Techno- und Wirtschaftsmathematik,427,0.36299765807962525,0.11943793911007025,0.2997658079625293,0.0468384074941452,0.07259953161592506,0.1053864168618267,0.14988290398126464,0.02810304449648712,0.07962529274004684
Fraunhofer-Institut für Toxikologie und Experimentelle Medizin,355,0.5154929577464789,0.4225352112676056,0.4112676056338028,0.21690140845070421,0.2056338028169014,0.1295774647887324,0.3126760563380282,0.03943661971830986,0.15211267605633802
"Fraunhofer-Institut für Umwelt-, Sicherheits- und Energietechnik",172,0.19186046511627908,0.11627906976744186,0.1686046511627907,0.0755813953488372,0.040697674418604654,0.10465116279069768,0.05232558139534884,0.029069767441860465,0.0755813953488372
Fraunhofer-Institut für Verfahrenstechnik und Verpackung,387,0.22997416020671835,0.21188630490956073,0.20155038759689922,0.14470284237726097,0.06718346253229975,0.06201550387596899,0.14987080103359174,0.01808785529715762,0.14987080103359174
Fraunhofer-Institut für Verkehrs- und Infrastruktursysteme,11,0.18181818181818177,0.09090909090909091,0.18181818181818182,0.09090909090909091,0,0.09090909090909091,0.09090909090909091,0,0
Fraunhofer-Institut für Werkstoff- und Strahltechnik,359,0.22562674094707524,0.14763231197771587,0.17548746518105848,0.0584958217270195,0.08913649025069638,0.08913649025069638,0.036211699164345405,0.03899721448467967,0.0947075208913649
Fraunhofer-Institut für Werkstoffmechanik,687,0.21834061135371174,0.0975254730713246,0.16448326055312956,0.036390101892285295,0.0611353711790393,0.06550218340611354,0.07423580786026202,0.020378457059679767,0.046579330422125184
Fraunhofer-Institut für Werkzeugmaschinen und Umformtechnik,154,0.1558441558441559,0.12987012987012986,0.12337662337662338,0.09740259740259741,0.032467532467532464,0.045454545454545456,0.07142857142857142,0.025974025974025976,0.045454545454545456
Fraunhofer-Institut für Windenergie und Energiesystemtechnik IWES,109,0.3302752293577982,0.1651376146788991,0.28440366972477066,0.14678899082568808,0.01834862385321101,0.1743119266055046,0.01834862385321101,0.07339449541284404,0.11009174311926606
Fraunhofer-Institut für Zelltherapie und Immunologie,545,0.6495412844036696,0.5779816513761468,0.5926605504587156,0.3559633027522936,0.22201834862385322,0.2036697247706422,0.5009174311926605,0.11192660550458716,0.25137614678899084
Fraunhofer-Institut für Zerstörungsfreie Prüfverfahren,178,0.1797752808988764,0.08426966292134831,0.1348314606741573,0.028089887640449437,0.056179775280898875,0.033707865168539325,0.033707865168539325,0.03932584269662921,0.07303370786516854
Fraunhofer-Institut für Zuverlässigkeit und Mikrointegration,153,0.21568627450980393,0.1111111111111111,0.1895424836601307,0.05228758169934641,0.058823529411764705,0.08496732026143791,0.08496732026143791,0.013071895424836602,0.0784313725490196
Fraunhofer-Instituts für Elektronische Nanosysteme ENAS,204,0.2549019607843137,0.15196078431372548,0.21568627450980393,0.12254901960784313,0.029411764705882353,0.07352941176470588,0.12254901960784313,0,0.10294117647058823
Fraunhofer-Zentrum für Mittel- und Osteuropa,9,0.2222222222222222,0,0.2222222222222222,0,0,0,0,0,0.2222222222222222
"Restkategorie FhG, ohne eindeutige Instituts-Adresse",73,0.1643835616438356,0.1095890410958904,0.136986301369863,0.0547945205479452,0.0547945205479452,0.0547945205479452,0.0547945205479452,0.0136986301369863,0.0547945205479452
Zentrale der Fraunhofer-Gesellschaft,20,0.35,0.1,0.3,0.05,0.05,0.15,0.25,0,0.05
