PUBYEAR,Total OA articles,Journal only,"Journal &
 Repository",Repository only,"Proportion
 Journal only","Proportion
 Journal &
 Repository","Proportion
 Repository only"
All years,382534,42663,199817,140054,0.11152734136050652,0.5223509544249662,0.36612170421452733
2010,28975,3171,12136,13668,0.10943917169974116,0.41884383088869714,0.4717169974115617
2011,32375,3340,14851,14184,0.10316602316602316,0.4587181467181467,0.4381158301158301
2012,35934,3616,17648,14670,0.10062893081761007,0.4911226136806367,0.4082484555017532
2013,39401,3951,19463,15987,0.10027664272480394,0.4939722342072536,0.4057511230679424
2014,41300,3961,21676,15663,0.09590799031476997,0.5248426150121065,0.37924939467312346
2015,44986,4735,24736,15515,0.10525496821233273,0.5498599564308896,0.34488507535677765
2016,50868,6224,28453,16191,0.1223559015491075,0.5593496893921522,0.3182944090587403
2017,53719,6670,29617,17432,0.12416463448686685,0.5513319309741432,0.32450343453898994
2018,54976,6995,31237,16744,0.12723733993015135,0.5681933934807916,0.30456926658905703
