upw_doi,oa_category,evidence,host_type,repository_institution,url_for_landing_page,url_for_pdf
10.1016/j.cub.2018.02.038,other_oa_journal,open (via crossref license),publisher,NA,https://doi.org/10.1016/j.cub.2018.02.038,NA
10.1016/j.cub.2018.02.038,opendoar_subject,oa repository (via pmcid lookup),repository,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5887108,NA
10.1016/j.cub.2018.02.038,opendoar_subject,oa repository (via OAI-PMH doi match),repository,National Institutes of Health (USA) - US National Library of Medicine,http://europepmc.org/articles/pmc5887108,NA
10.1093/jcr/ucv017,not_oa,NA,NA,NA,NA,NA
10.1002/ejoc.201501515,not_oa,NA,NA,NA,NA,NA
10.1016/j.theriogenology.2016.04.006,other_oa_journal,open (via page says Open Access),publisher,NA,https://doi.org/10.1016/j.theriogenology.2016.04.006,NA
10.1103/physrevd.90.044059,opendoar_subject,oa repository (via OAI-PMH doi match),repository,arXiv.org,http://arxiv.org/abs/1406.6232,http://arxiv.org/pdf/1406.6232
10.1007/s00259-013-2611-8,not_oa,NA,NA,NA,NA,NA
10.1038/nchembio.2151,opendoar_subject,oa repository (via pmcid lookup),repository,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5030147,NA
10.1038/nchembio.2151,opendoar_subject,oa repository (via OAI-PMH doi match),repository,pubmedcentral.nih.gov,http://europepmc.org/articles/pmc5030147,http://europepmc.org/articles/pmc5030147?pdf=render
10.1038/nchembio.2151,opendoar_inst,oa repository (via OAI-PMH doi match),repository,Helmholtz-Zentrum für Infektionsforschung GmbH - HZI Open Repository,http://hdl.handle.net/10033/621302,https://repository.helmholtz-hzi.de/bitstream/10033/621302/1/Ramos-Espiritu%20et%20al.pdf
10.1371/journal.pntd.0005300,full_oa_journal,oa journal (via doaj),publisher,NA,https://doi.org/10.1371/journal.pntd.0005300,NA
10.1371/journal.pntd.0005300,full_oa_journal,open (via page says license),publisher,NA,https://doi.org/10.1371/journal.pntd.0005300,https://journals.plos.org/plosntds/article/file?id=10.1371/journal.pntd.0005300&type=printable
10.1371/journal.pntd.0005300,opendoar_subject,oa repository (via pmcid lookup),repository,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5342303,NA
10.1371/journal.pntd.0005300,opendoar_subject,oa repository (via OAI-PMH doi match),repository,pubmedcentral.nih.gov,http://europepmc.org/articles/pmc5342303,http://europepmc.org/articles/pmc5342303?pdf=render
10.1371/journal.pntd.0005300,opendoar_inst,oa repository (via OAI-PMH doi match),repository,Red Federada de Repositorios Institucionales de Publicaciones Científicas - LA Referencia,http://hdl.handle.net/11336/37403,http://ri.conicet.gov.ar/bitstream/11336/37403/2/CONICET_Digital_Nro.bb6a2c1d-9c4e-43f6-b854-b7dfc05d7c3c_A.pdf
10.1371/journal.pntd.0005300,opendoar_inst,oa repository (via OAI-PMH doi match),repository,Helmholtz-Zentrum für Infektionsforschung GmbH - HZI Open Repository,http://hdl.handle.net/10033/620870,https://repository.helmholtz-hzi.de/bitstream/10033/620870/1/Matos%20et%20al.pdf
10.1371/journal.pntd.0005300,other_repo,oa repository (semantic scholar lookup),repository,NA,https://semanticscholar.org/paper/89da6b0bb6df0e645d72bf1f68b3413ae9cdd9a6,http://pdfs.semanticscholar.org/89da/6b0bb6df0e645d72bf1f68b3413ae9cdd9a6.pdf
10.1038/ki.2014.128,other_oa_journal,open (via crossref license),publisher,NA,https://doi.org/10.1038/ki.2014.128,NA
10.1038/ki.2014.128,opendoar_subject,oa repository (via pmcid lookup),repository,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4214898,NA
10.1038/ki.2014.128,opendoar_subject,oa repository (via OAI-PMH doi match),repository,pubmedcentral.nih.gov,http://europepmc.org/articles/pmc4214898,http://europepmc.org/articles/pmc4214898?pdf=render
10.1163/15685330-12341170,not_oa,NA,NA,NA,NA,NA
10.1007/s00120-010-2263-2,not_oa,NA,NA,NA,NA,NA
10.1002/2013wr015177,opendoar_inst,oa repository (via OAI-PMH title and first author match),repository,NA,https://scholarworks.boisestate.edu/geo_facpubs/228,https://scholarworks.boisestate.edu/cgi/viewcontent.cgi?article=1228&context=geo_facpubs
10.1002/2013wr015177,opendoar_inst,oa repository (via OAI-PMH title and first author match),repository,Forschungszentrum Jülich - JuSER,http://juser.fz-juelich.de/record/155660,http://juser.fz-juelich.de/record/155660/files/FZJ-2014-04713.pdf
