repo_url,oai_url,repo_type,org_url,doar_uri,repo_domain
https://ecommons.cornell.edu,https://ecommons.cornell.edu/oai/request,institutional,https://www.cornell.edu/,http://v2.sherpa.ac.uk/id/repository/69,ecommons.cornell.edu
https://dspace.lib.cranfield.ac.uk/,https://dspace.lib.cranfield.ac.uk/oai/request,institutional,http://www.cranfield.ac.uk,http://v2.sherpa.ac.uk/id/repository/70,dspace.lib.cranfield.ac.uk
http://opac.ll.chiba-u.jp/da/curator/?lang=1,http://opac.ll.chiba-u.jp/opac/mmd_api/oai-pmh/,institutional,http://www.chiba-u.ac.jp/e/index.html,http://v2.sherpa.ac.uk/id/repository/72,opac.ll.chiba-u.jp
https://espace.curtin.edu.au,https://espace.curtin.edu.au/oai/request,institutional,https://www.curtin.edu.au,http://v2.sherpa.ac.uk/id/repository/73,espace.curtin.edu.au
http://du.diva-portal.org/smash/search.jsf,http://du.diva-portal.org/dice/oai,institutional,http://www.du.se/,http://v2.sherpa.ac.uk/id/repository/76,du.diva-portal.org
http://www.shef.ac.uk/dcs/research/publications,NA,institutional,http://www.shef.ac.uk/,http://v2.sherpa.ac.uk/id/repository/78,shef.ac.uk
https://openresearch.anu.edu.au/,https://openresearch-repository.anu.edu.au/oai/request?verb=Identify,institutional,http://www.anu.edu.au/,http://v2.sherpa.ac.uk/id/repository/79,openresearch.anu.edu.au
http://hal.in2p3.fr/,https://api.archives-ouvertes.fr/oai/democrite,institutional,http://www.in2p3.fr/,http://v2.sherpa.ac.uk/id/repository/80,hal.in2p3.fr
https://cris.maastrichtuniversity.nl/portal/en/publications/search.html,http://cris.maastrichtuniversity.nl/ws/oai,institutional,http://www.maastrichtuniversity.nl/,http://v2.sherpa.ac.uk/id/repository/83,cris.maastrichtuniversity.nl
http://digitalcommons.carleton.edu/,NA,institutional,http://www.carleton.edu/,http://v2.sherpa.ac.uk/id/repository/84,digitalcommons.carleton.edu
http://digitalcommons.conncoll.edu/,http://digitalcommons.conncoll.edu/do/oai/,institutional,http://www.conncoll.edu/,http://v2.sherpa.ac.uk/id/repository/85,digitalcommons.conncoll.edu
http://digitalcommons.trinity.edu/relig_faculty/2/,NA,institutional,http://web.trinity.edu/,http://v2.sherpa.ac.uk/id/repository/87,digitalcommons.trinity.edu
http://dspace.mit.edu/,http://dspace.mit.edu/oai/request,institutional,http://web.mit.edu/,http://v2.sherpa.ac.uk/id/repository/88,dspace.mit.edu
http://dlc.dlib.indiana.edu/dlc/,NA,disciplinary,http://www.indiana.edu/,http://v2.sherpa.ac.uk/id/repository/89,dlc.dlib.indiana.edu
http://digitalcommons.pace.edu/,http://digitalcommons.pace.edu/do/oai/,institutional,http://www.pace.edu/,http://v2.sherpa.ac.uk/id/repository/91,digitalcommons.pace.edu
http://digitalcommons.library.tmc.edu/,http://digitalcommons.library.tmc.edu/do/oai/,institutional,http://texasmedicalcenter.org/,http://v2.sherpa.ac.uk/id/repository/93,digitalcommons.library.tmc.edu
http://digitool.fcla.edu/R/,NA,institutional,http://www.fau.edu/,http://v2.sherpa.ac.uk/id/repository/94,digitool.fcla.edu
http://digitalcommons.ilr.cornell.edu/,http://digitalcommons.ilr.cornell.edu/do/oai/,institutional,http://www.cornell.edu/,http://v2.sherpa.ac.uk/id/repository/95,digitalcommons.ilr.cornell.edu
http://digitalcommons.macalester.edu/,http://digitalcommons.macalester.edu/do/oai/,institutional,http://www.macalester.edu/,http://v2.sherpa.ac.uk/id/repository/96,digitalcommons.macalester.edu
http://digitalcommons.uconn.edu/,http://digitalcommons.uconn.edu/do/oai/,institutional,http://www.uconn.edu/,http://v2.sherpa.ac.uk/id/repository/98,digitalcommons.uconn.edu
http://digitalcommons.unl.edu/,http://digitalcommons.unl.edu/do/oai/,institutional,http://www.unl.edu/,http://v2.sherpa.ac.uk/id/repository/99,digitalcommons.unl.edu
http://digitalcommons.utep.edu/,http://digitalcommons.utep.edu/do/oai/,institutional,http://www.utep.edu/,http://v2.sherpa.ac.uk/id/repository/100,digitalcommons.utep.edu
http://dspace.library.uu.nl,https://dspace.library.uu.nl/oai/request,institutional,http://www.uu.nl/,http://v2.sherpa.ac.uk/id/repository/101,dspace.library.uu.nl
http://www.qucosa.de/,http://www.qucosa.de/oai/,institutional,http://www.slub-dresden.de/,http://v2.sherpa.ac.uk/id/repository/104,qucosa.de
https://doclib.uhasselt.be/dspace/,http://doclib.uhasselt.be/dspace-oai/request,institutional,https://www.uhasselt.be,http://v2.sherpa.ac.uk/id/repository/105,doclib.uhasselt.be
http://ir.library.oregonstate.edu,http://ir.library.oregonstate.edu/oai/request,institutional,http://oregonstate.edu/,http://v2.sherpa.ac.uk/id/repository/108,ir.library.oregonstate.edu
http://www.repository.cam.ac.uk/,https://www.repository.cam.ac.uk/oai/request,institutional,http://www.cam.ac.uk/,http://v2.sherpa.ac.uk/id/repository/109,repository.cam.ac.uk
https://dl.comp.nus.edu.sg/dspace/,NA,institutional,http://www.nus.edu.sg/,http://v2.sherpa.ac.uk/id/repository/110,dl.comp.nus.edu.sg
http://dspace.utalca.cl/index.jsp,http://dspace.utalca.cl/oai/request,institutional,http://www.utalca.cl/link.cgi/#/link.cgi/,http://v2.sherpa.ac.uk/id/repository/114,dspace.utalca.cl
http://dspace.iimk.ac.in/,http://dspace.iimk.ac.in/dspace-oai/request,institutional,http://www.iimk.ac.in/,http://v2.sherpa.ac.uk/id/repository/115,dspace.iimk.ac.in
http://dspace.nitrkl.ac.in/dspace/,http://dspace.nitrkl.ac.in:8080/dspace-oai/request?,institutional,http://www.nitrkl.ac.in/,http://v2.sherpa.ac.uk/id/repository/116,dspace.nitrkl.ac.in
https://waseda.repo.nii.ac.jp/,http://waseda.repo.nii.ac.jp/oai,institutional,https://www.waseda.jp/top/en,http://v2.sherpa.ac.uk/id/repository/117,waseda.repo.nii.ac.jp
http://doras.dcu.ie/,http://doras.dcu.ie/cgi/oai2,institutional,http://www.dcu.ie/,http://v2.sherpa.ac.uk/id/repository/119,doras.dcu.ie
http://www.duo.uio.no/,NA,institutional,http://www.uio.no/,http://v2.sherpa.ac.uk/id/repository/121,duo.uio.no
http://eprints.rclis.org/,http://eprints.rclis.org/cgi/oai2,disciplinary,http://eprints.rclis.org/information.html#1,http://v2.sherpa.ac.uk/id/repository/124,eprints.rclis.org
http://eprints.ucm.es/,http://eprints.ucm.es/cgi/oai2,institutional,http://www.ucm.es/,http://v2.sherpa.ac.uk/id/repository/126,eprints.ucm.es
http://www.e-space.mmu.ac.uk/,http://w01.mmupr.da.ulcc.ac.uk/cgi/oai2,institutional,http://www2.mmu.ac.uk/,http://v2.sherpa.ac.uk/id/repository/128,e-space.mmu.ac.uk
http://www.earth-prints.org/,http://www.earth-prints.org/oai/request,disciplinary,http://www.ingv.it/,http://v2.sherpa.ac.uk/id/repository/129,earth-prints.org
http://library.eri.nau.edu/,NA,institutional,http://www.nau.edu/,http://v2.sherpa.ac.uk/id/repository/130,library.eri.nau.edu
http://winnspace.uwinnipeg.ca/,http://winnspace.uwinnipeg.ca/oai/request,institutional,http://www.uwinnipeg.ca/,http://v2.sherpa.ac.uk/id/repository/131,winnspace.uwinnipeg.ca
https://edoc.hu-berlin.de/,http://edoc.hu-berlin.de/oai,institutional,https://www.hu-berlin.de/,http://v2.sherpa.ac.uk/id/repository/133,edoc.hu-berlin.de
https://eldorado.tu-dortmund.de/,https://eldorado.tu-dortmund.de/dspace-oai/request,institutional,http://www.tu-dortmund.de/,http://v2.sherpa.ac.uk/id/repository/134,eldorado.tu-dortmund.de
http://bth.diva-portal.org/smash/search.jsf?dswid=2623,http://bth.diva-portal.org/dice/oai,institutional,http://www.bth.se/,http://v2.sherpa.ac.uk/id/repository/135,bth.diva-portal.org
http://eprints.erpanet.org/,http://eprints.erpanet.org/perl/oai2,disciplinary,http://www.erpanet.org/,http://v2.sherpa.ac.uk/id/repository/136,eprints.erpanet.org
https://etda.libraries.psu.edu/,NA,institutional,http://www.psu.edu/,http://v2.sherpa.ac.uk/id/repository/137,etda.libraries.psu.edu
http://etd.uis.lsu.edu/cgi-bin/ETD-browse/browse,NA,institutional,http://www.lsu.edu/,http://v2.sherpa.ac.uk/id/repository/138,etd.uis.lsu.edu
http://elib.suub.uni-bremen.de/,http://elib.suub.uni-bremen.de/cgi-bin/CiXbase/edocs/CiXbase_search,institutional,http://www.uni-bremen.de/,http://v2.sherpa.ac.uk/id/repository/139,elib.suub.uni-bremen.de
https://eprints.stoa.it,http://eprints.stoa.it/cgi/oai2,institutional,http://www.stoa.it,http://v2.sherpa.ac.uk/id/repository/140,eprints.stoa.it
https://www.ltu.se/publications,http://ltu.diva-portal.org/dice/oai,institutional,http://www.ltu.se/,http://v2.sherpa.ac.uk/id/repository/142,ltu.se
https://depot.erudit.org/,https://depot.erudit.org/dspace-oai/request,institutional,http://www.umontreal.ca/,http://v2.sherpa.ac.uk/id/repository/144,depot.erudit.org
http://escholarshare.drake.edu/,http://escholarshare.drake.edu/oai/request,institutional,http://www.drake.edu/,http://v2.sherpa.ac.uk/id/repository/145,escholarshare.drake.edu
