upw_doi,oa_category,evidence,host_type,repository_institution,url_for_landing_page,url_for_pdf
10.4014/jmb.1406.06025,other_repo,oa repository (semantic scholar lookup),repository,NA,https://semanticscholar.org/paper/8252887123083f0f68f712e2205cea9dc2eb9009,http://pdfs.semanticscholar.org/8252/887123083f0f68f712e2205cea9dc2eb9009.pdf
10.1017/s095252381300045x,other_oa_journal,open (via page says Open Access),publisher,NA,https://doi.org/10.1017/s095252381300045x,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5545A7E21CCEA150671D2FDA803892C3/S095252381300045Xa.pdf/div-class-title-linking-hypotheses-underlying-class-a-and-class-b-methods-div.pdf
10.1017/s095252381300045x,other_repo,oa repository (via pmcid lookup),repository,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4131156,NA
10.1017/s095252381300045x,opendoar_subject,oa repository (via OAI-PMH doi match),repository,pubmedcentral.nih.gov,http://europepmc.org/articles/pmc4131156,http://europepmc.org/articles/pmc4131156?pdf=render
10.1017/s095252381300045x,other_repo,oa repository (semantic scholar lookup),repository,NA,https://semanticscholar.org/paper/156818d2a1e3619ee36526e7e4c4ad432749a704,http://pdfs.semanticscholar.org/1c3b/41421f34bba24b0627b8ea37d85eb2fbde46.pdf
10.1017/s095252381300045x,opendoar_inst,oa repository (via OAI-PMH title and first author match),repository,City University London - City Research Online,http://openaccess.city.ac.uk/14135/1/Linking%20hypotheses%20underlying%20Class%20A%20and%20Class%20B%20methods..pdf,http://openaccess.city.ac.uk/14135/1/Linking%20hypotheses%20underlying%20Class%20A%20and%20Class%20B%20methods..pdf
10.1016/j.imlet.2012.02.004,not_oa,NA,NA,NA,NA,NA
10.1371/journal.pone.0116029,full_oa_journal,oa journal (via doaj),publisher,NA,https://doi.org/10.1371/journal.pone.0116029,NA
10.1371/journal.pone.0116029,full_oa_journal,open (via page says license),publisher,NA,https://doi.org/10.1371/journal.pone.0116029,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0116029&type=printable
10.1371/journal.pone.0116029,other_repo,oa repository (via pmcid lookup),repository,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309611,NA
