repo_url,oai_url,repo_type,repo_name,org_url,doar_uri
http://thesis.library.caltech.edu/,http://thesis.library.caltech.edu/cgi/oai2,institutional,Caltech Theses and Dissertations,http://www.caltech.edu/,https://v2.sherpa.ac.uk/id/repository/40
http://calteches.library.caltech.edu/,http://calteches.library.caltech.edu/cgi/oai2,institutional,CalTech Engineering and Science Online,http://www.caltech.edu/,https://v2.sherpa.ac.uk/id/repository/41
https://www.cl.cam.ac.uk/techreports,http://www.cl.cam.ac.uk/techreports/UCAM-CL-TR-OAI-SR.xml,institutional,Computer Laboratory Technical Reports - Cambridge University,http://www.cam.ac.uk,https://v2.sherpa.ac.uk/id/repository/54
http://orca.cf.ac.uk,http://orca.cf.ac.uk/cgi/oai2,institutional,Online Research @ Cardiff,https://www.cardiff.ac.uk,https://v2.sherpa.ac.uk/id/repository/55
https://epubs.stfc.ac.uk/,https://epubs.stfc.ac.uk/oai/,institutional,ePubs: the open archive for STFC research publications,http://www.stfc.ac.uk/,https://v2.sherpa.ac.uk/id/repository/57
https://archivesic.ccsd.cnrs.fr,https://api.archives-ouvertes.fr/oai/archivesic,institutional,Archive Ouverte en Sciences de l'Information et de la Communication,https://www.ccsd.cnrs.fr,https://v2.sherpa.ac.uk/id/repository/58
http://jeannicod.ccsd.cnrs.fr/,https://api.archives-ouvertes.fr/oai/jeannicod,institutional,Archive Electronique - Institut Jean Nicod,http://www.institutnicod.org/,https://v2.sherpa.ac.uk/id/repository/59
http://tel.archives-ouvertes.fr/,https://api.archives-ouvertes.fr/oai/tel,aggregating,Thèses en Ligne,https://www.ccsd.cnrs.fr,https://v2.sherpa.ac.uk/id/repository/60
http://content.library.ccsu.edu/cdm/,NA,institutional,Central Connecticut State University Digital Collections,http://www.ccsu.edu/,https://v2.sherpa.ac.uk/id/repository/61
http://ceu.archives.ceu.hu/,http://ceu.archives.ceu.hu/perl/oai2,institutional,Central European University's Academic Archive,https://www.ceu.edu,https://v2.sherpa.ac.uk/id/repository/63
http://rss.archives.ceu.hu/,http://rss.archives.ceu.hu/perl/oai2,institutional,Research Support Scheme - Central European University,https://www.ceu.edu,https://v2.sherpa.ac.uk/id/repository/64
http://cds.cern.ch/,http://cds.cern.ch/oai2d,disciplinary,CERN Document Server,https://home.cern,https://v2.sherpa.ac.uk/id/repository/65
http://theses.insa-lyon.fr/,http://docinsa.insa-lyon.fr/oai/oai2.php,institutional,Thèses de l'INSA de Lyon,http://www.insa-lyon.fr/,https://v2.sherpa.ac.uk/id/repository/66
http://cogprints.org/,http://cogprints.org/cgi/oai2,disciplinary,Cognitive Sciences ePrint Archive,https://www.southampton.ac.uk/,https://v2.sherpa.ac.uk/id/repository/68
https://ecommons.cornell.edu,https://ecommons.cornell.edu/oai/request,institutional,eCommons@Cornell,https://www.cornell.edu/,https://v2.sherpa.ac.uk/id/repository/69
