INST_NAME,n_total,is_oa,full_oa_journal,other_oa_journal,opendoar_inst,opendoar_subject,opendoar_other,other_repo
Max-Planck-Institut für Intelligente Systeme,2095,0.5031026252983293,0.10978520286396182,0.15083532219570406,0.160381861575179,0.32553699284009546,0.06348448687350836,0.16467780429594273
Max-Planck-Institut für Kernphysik (MPIK),2988,0.8350066934404283,0.19812583668005354,0.2894912985274431,0.3751673360107095,0.7282463186077643,0.3467202141900937,0.2891566265060241
Max-Planck-Institut für Kognitions- und Neurowissenschaften,2002,0.583916083916084,0.2722277722277722,0.18981018981018982,0.1983016983016983,0.43156843156843155,0.3646353646353646,0.25374625374625376
Max-Planck-Institut für Kohlenforschung,1422,0.33614627285513365,0.03867791842475387,0.0759493670886076,0.06821378340365682,0.08720112517580872,0.19971870604781997,0.056258790436005623
Max-Planck-Institut für Kolloid- und Grenzflächenforschung,2725,0.38385321100917436,0.08623853211009175,0.13577981651376148,0.10862385321100917,0.15926605504587155,0.24073394495412845,0.1324770642201835
Max-Planck-Institut für Marine Mikrobiologie,973,0.6485097636176773,0.2682425488180884,0.263103802672148,0.302158273381295,0.4090441932168551,0.21685508735868447,0.2569373072970195
Max-Planck-Institut für Mathematik,671,0.767511177347243,0.040238450074515646,0.23695976154992549,0.5081967213114754,0.6482861400894188,0.6795827123695977,0.14307004470938897
Max-Planck-Institut für Mathematik in den Naturwissenschaften (MIS),1129,0.7449069973427812,0.15323294951284322,0.15943312666076173,0.12134632418069087,0.5748449955713021,0.13640389725420726,0.21523472099202834
Max-Planck-Institut für medizinische Forschung,648,0.6712962962962963,0.21141975308641975,0.2777777777777778,0.22067901234567902,0.470679012345679,0.2037037037037037,0.28703703703703703
Max-Planck-Institut für Menschheitsgeschichte,520,0.6923076923076923,0.21346153846153845,0.18076923076923077,0.425,0.4576923076923077,0.3730769230769231,0.27307692307692305
Max-Planck-Institut für Meteorologie (MPI-M),1452,0.7568870523415978,0.37052341597796146,0.1384297520661157,0.3725895316804408,0.08539944903581267,0.5482093663911846,0.35537190082644626
Max-Planck-Institut für Mikrostrukturphysik,1398,0.5665236051502146,0.08226037195994278,0.06652360515021459,0.12875536480686695,0.259656652360515,0.0407725321888412,0.2832618025751073
Max-Planck-Institut für molekulare Biomedizin,622,0.7733118971061093,0.319935691318328,0.33440514469453375,0.20257234726688103,0.5418006430868167,0.04501607717041801,0.27813504823151125
Max-Planck-Institut für molekulare Genetik (MPIMG),1453,0.8004129387474191,0.3220922229869236,0.28492773571920166,0.29318651066758433,0.573296627666896,0.41431520991052995,0.2904335856847901
Max-Planck-Institut für molekulare Pflanzenphysiologie (MPIMP),1430,0.7034965034965035,0.23146853146853147,0.4132867132867133,0.14895104895104896,0.5384615384615384,0.16083916083916083,0.334965034965035
Max-Planck-Institut für molekulare Physiologie,820,0.5,0.14878048780487804,0.2426829268292683,0.15853658536585366,0.35853658536585364,0.04878048780487805,0.15365853658536585
Max-Planck-Institut für molekulare Zellbiologie und Genetik,1321,0.7388342165026496,0.2853898561695685,0.35124905374716126,0.2157456472369417,0.5594246782740349,0.10900832702498107,0.28841786525359575
Max-Planck-Institut für Neurobiologie,487,0.7412731006160165,0.23819301848049282,0.39835728952772076,0.1971252566735113,0.5071868583162218,0.27104722792607805,0.2792607802874743
Max-Planck-Institut für Ornithologie,1234,0.6288492706645057,0.21231766612641814,0.2893030794165316,0.35170178282009723,0.373581847649919,0.08184764991896272,0.18071312803889789
Max-Planck-Institut für Pflanzenzüchtungsforschung,1089,0.7392102846648301,0.29660238751147844,0.3682277318640955,0.2433425160697888,0.5895316804407713,0.4361799816345271,0.2865013774104683
Max-Planck-Institut für Physik (Werner-Heisenberg-Institut),2831,0.946661956905687,0.3726598375132462,0.2755210173083716,0.5672907099964677,0.9078064288237372,0.42776404097492055,0.493465206640763
Max-Planck-Institut für Physik komplexer Systeme,2463,0.8197320341047503,0.1319529029638652,0.13804303694681283,0.17701989443767763,0.7190418189200163,0.15996751928542427,0.2850182704019488
Max-Planck-Institut für Plasmaphysik (IPP),3325,0.7443609022556391,0.04150375939849624,0.08090225563909774,0.34285714285714286,0.1368421052631579,0.5380451127819549,0.2625563909774436
Max-Planck-Institut für Polymerforschung,3376,0.32257109004739337,0.061611374407582936,0.1110781990521327,0.08886255924170616,0.12144549763033176,0.12411137440758294,0.10219194312796208
Max-Planck-Institut für Psychiatrie (Deutsche Forschungsanstalt für Psychiatrie),1506,0.5517928286852589,0.2158034528552457,0.21115537848605578,0.23705179282868527,0.4156706507304117,0.2158034528552457,0.19322709163346613
Max-Planck-Institut für Quantenoptik (MPQ),1538,0.7594278283485045,0.15734720416124837,0.11183355006501951,0.24577373211963588,0.5851755526657998,0.2607282184655397,0.2282184655396619
Max-Planck-Institut für Radioastronomie,2741,0.9631521342575702,0.006202116016052536,0.7840204304998176,0.46406421014228383,0.9149945275446917,0.22291134622400582,0.4374315943086465
Max-Planck-Institut für Softwaresysteme,104,0.45192307692307687,0.0673076923076923,0.09615384615384616,0.1346153846153846,0.22115384615384615,0.18269230769230768,0.038461538461538464
Max-Planck-Institut für Sonnensystemforschung,2287,0.7542632269348492,0.045911674682990816,0.5041539134236992,0.2754700480979449,0.5045911674682991,0.09357236554438128,0.3476169654569305
Max-Planck-Institut für Sozialrecht und Sozialpolitik,118,0.4576271186440678,0.05084745762711865,0.11016949152542373,0.1694915254237288,0.3050847457627119,0.03389830508474576,0.1694915254237288
Max-Planck-Institut für Steuerrecht und Öffentliche Finanzen,66,0.7121212121212122,0,0.07575757575757576,0.2727272727272727,0.5151515151515151,0.22727272727272727,0.42424242424242425
Max-Planck-Institut für Stoffwechselforschung,656,0.649390243902439,0.22865853658536586,0.30640243902439024,0.19207317073170732,0.4451219512195122,0.054878048780487805,0.22713414634146342
Max-Planck-Institut für Struktur und Dynamik der Materie,505,0.8,0.17227722772277226,0.17623762376237623,0.2871287128712871,0.5346534653465347,0.6455445544554456,0.41386138613861384
Max-Planck-Institut für terrestrische Mikrobiologie,861,0.6329849012775842,0.21718931475029035,0.32752613240418116,0.13124274099883856,0.46806039488966317,0.06620209059233449,0.26364692218350755
Max-Planck-Institut für Wissenschaftsgeschichte,244,0.26639344262295084,0.01639344262295082,0.0942622950819672,0.05327868852459016,0.11885245901639344,0.12295081967213115,0.07377049180327869
Max-Planck-Institut für Zellbiologie (MPIZB),2,0.5,0,0,0.5,0,0,0
Max-Planck-Institut Halbleiterlabor (HLL),99,0.46464646464646464,0.04040404040404041,0.09090909090909091,0.13131313131313133,0.30303030303030304,0.1111111111111111,0.2222222222222222
Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften,133,0.24812030075187974,0.03007518796992481,0.09774436090225563,0.06015037593984962,0.03007518796992481,0.06766917293233082,0.10526315789473684
Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern,319,0.5360501567398119,0.034482758620689655,0.10658307210031348,0.1724137931034483,0.2852664576802508,0.21316614420062696,0.1786833855799373
"Restkategorie MPG, ohne eindeutige Instituts-Adresse",157,0.5732484076433121,0.17197452229299362,0.08280254777070063,0.2484076433121019,0.37579617834394907,0.18471337579617833,0.21656050955414013
Sammelkategorie International Max Planck Research Schools,628,0.6815286624203822,0.31687898089171973,0.2197452229299363,0.19585987261146498,0.3519108280254777,0.24363057324840764,0.321656050955414
Sammelkategorie Max-Planck-Forschungsgruppen an Universitäten,262,0.6984732824427481,0.11450381679389313,0.13740458015267176,0.22900763358778625,0.4198473282442748,0.25572519083969464,0.44274809160305345
