oa_category,oa_host_non_overlap,Publisher only,"Publisher &
 Repository",Repository only
full_oa_journal,publisher,0.14898155310221972,0.541795743104941,0
other_oa_journal,publisher,0.8510184468977803,0.458204256895059,0
opendoar_inst,repository,0,0.22316246922207603,0.2832555803513641
opendoar_subject,repository,0,0.43183815862027547,0.39111389560561893
opendoar_other,repository,0,0.07757401715374494,0.10582862586921965
other_repo,repository,0,0.2674253550039035,0.21980189817379733
