INST_NAME,n_total,is_oa,publisher,repository,other_repo,full_oa_journal,other_oa_journal,opendoar_inst,opendoar_subject,opendoar_other
Akademie für Raumforschung und Landesplanung - Leibniz-Forum für Raumwissenschaften (ARL),4,0.25,0,0.25,0.25,0,0,0,0,0
Bernhard-Nocht-Institut für Tropenmedizin (BNI),960,0.6666666666666667,0.5979166666666667,0.5916666666666667,0.2833333333333333,0.35833333333333334,0.23958333333333334,0.22083333333333333,0.5166666666666667,0.042708333333333334
Biodiversität und Klima Forschungszentrum (BiK-F),1189,0.42724978973927674,0.30529857022708157,0.375946173254836,0.16904962153069805,0.191757779646762,0.1135407905803196,0.25820016820857866,0.21698906644238855,0.06307821698906645
Bremer Institut für Präventionsforschung und Sozialmedizin (BIPS),753,0.5790172642762283,0.43293492695883135,0.5033200531208499,0.19654714475431606,0.22177954847277556,0.21115537848605578,0.24701195219123506,0.39176626826029215,0.06241699867197875
Deutsche Forschungsanstalt für Lebensmittelchemie,174,0.1954022988505747,0.14367816091954022,0.16091954022988506,0.07471264367816093,0.06321839080459771,0.08045977011494253,0.040229885057471264,0.09770114942528736,0.011494252873563218
Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH (DSMZ),1095,0.7287671232876712,0.5844748858447488,0.6694063926940639,0.35251141552511417,0.32968036529680367,0.2547945205479452,0.30319634703196346,0.4009132420091324,0.0958904109589041
Deutsche Zentralbibliothek für Medizin (ZB MED),1,0,0,0,0,0,0,0,0,0
Deutsches Bergbau-Museum (DBM),36,0.2222222222222222,0.19444444444444445,0.19444444444444445,0.1388888888888889,0.16666666666666666,0.027777777777777776,0.1111111111111111,0.027777777777777776,0.027777777777777776
Deutsches Diabetes-Zentrum (DDZ),471,0.49044585987261147,0.40764331210191085,0.3991507430997877,0.23354564755838642,0.18471337579617833,0.2229299363057325,0.11040339702760085,0.2929936305732484,0.03184713375796178
Deutsches Forschungsinstitut für öffentliche Verwaltung Speyer,27,0,0,0,0,0,0,0,0,0
Deutsches Institut für Erwachsenenbildung - Leibniz-Zentrum für Lebenslanges Lernen,21,0.23809523809523814,0.14285714285714285,0.19047619047619047,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.09523809523809523,0
