domains,opendoar_inst,opendoar_other,opendoar_subject,other_repo
opus4.kobv.de,56670,0,0,0
epub.ub.uni-muenchen.de,37070,0,0,0
hal.archives-ouvertes.fr,25933,12956,0,0
biblio.ugent.be,23261,0,0,0
vinar.vin.bg.ac.rs,21962,0,0,0
zora.uzh.ch,17656,0,0,0
zenodo.org,16911,4227,0,0
repository.ubn.ru.nl,14316,0,0,0
discovery.ucl.ac.uk,12283,0,0,0
escholarship.org,12077,0,0,0
repositorium.sdum.uminho.pt,11217,0,0,0
dspace.mit.edu,10886,0,0,0
eprints.whiterose.ac.uk,10179,0,0,0
uu.diva-portal.org,10123,0,0,0
hub.hku.hk,10116,0,0,0
archive-ouverte.unige.ch,10086,0,0,0
refubium.fu-berlin.de,9478,0,0,0
sro.sussex.ac.uk,8803,0,0,0
boris.unibe.ch,8334,0,0,0
dora.lib4ri.ch,8270,0,0,0
digital.csic.es,8077,0,0,0
research.ed.ac.uk,7892,0,0,0
air.unimi.it,7633,0,0,0
publikationen.ub.uni-frankfurt.de,7345,0,0,0
helda.helsinki.fi,7311,0,0,0
repository.library.fresnostate.edu,7169,0,0,0
openaccess.dogus.edu.tr,7131,0,0,0
research.birmingham.ac.uk,6983,0,0,0
kops.uni-konstanz.de,6932,0,0,0
repositorio.uam.es,6700,0,0,0
authors.library.caltech.edu,6491,0,0,0
dash.harvard.edu,6307,0,0,0
ruj.uj.edu.pl,6140,0,0,0
juser.fz-juelich.de,5967,0,0,0
wrap.warwick.ac.uk,5939,0,0,0
duo.uio.no,5927,0,0,0
spiral.imperial.ac.uk,5621,0,0,0
arpi.unipi.it,5603,0,0,0
oceanrep.geomar.de,5586,0,0,0
tsukuba.repo.nii.ac.jp,5563,0,0,0
roderic.uv.es,5531,0,0,0
edoc.mdc-berlin.de,5384,0,0,0
iris.unitn.it,5367,0,0,0
dro.dur.ac.uk,4817,0,0,0
elib.dlr.de,4785,0,0,0
upcommons.upc.edu,4590,0,0,0
pure.uva.nl,4456,0,0,4668
kclpure.kcl.ac.uk,4334,0,0,0
repository.helmholtz-hzi.de,4273,0,0,0
bura.brunel.ac.uk,4206,0,0,0
