INST_NAME,n_total,is_oa,full_oa_journal,other_oa_journal,opendoar_inst,opendoar_subject,opendoar_other,other_repo
Bayerische Landesanstalt für Landwirtschaft,333,0.26726726726726724,0.1021021021021021,0.08408408408408409,0.10510510510510511,0.12912912912912913,0.04504504504504504,0.09309309309309309
Bayerische Landesanstalt für Wald und Forstwirtschaft,77,0.33766233766233766,0.2077922077922078,0.07792207792207792,0.12987012987012986,0.09090909090909091,0.07792207792207792,0.16883116883116883
Bayerisches Landesamt für Denkmalpflege,20,0.050000000000000044,0,0.05,0,0,0,0
Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit,621,0.28341384863124,0.1288244766505636,0.08856682769726248,0.1143317230273752,0.16908212560386474,0.01932367149758454,0.09017713365539452
Bundesagentur für Arbeit,12,0.33333333333333337,0,0,0.3333333333333333,0.08333333333333333,0,0.08333333333333333
Bundesamt für Kartographie und Geodäsie (BKG),14,0.2142857142857143,0,0.14285714285714285,0.21428571428571427,0,0,0
Bundesamt für Migration und Flüchtlinge,2,0,0,0,0,0,0,0
Bundesamt für Seeschifffahrt und Hydrographie,29,0.5862068965517242,0.20689655172413793,0.20689655172413793,0.1724137931034483,0.1724137931034483,0.06896551724137931,0.1724137931034483
Bundesamt für Strahlenschutz,360,0.3472222222222222,0.08333333333333333,0.15833333333333333,0.1361111111111111,0.1111111111111111,0.03611111111111111,0.12777777777777777
Bundesamt für Verbraucherschutz und Lebensmittelsicherheit (BVL),168,0.23809523809523814,0.07738095238095238,0.13690476190476192,0.09523809523809523,0.125,0.005952380952380952,0.06547619047619048
Bundesanstalt für Arbeitsschutz und Arbeitsmedizin,262,0.4580152671755725,0.15648854961832062,0.24427480916030533,0.13358778625954199,0.26717557251908397,0.06870229007633588,0.13740458015267176
Bundesanstalt für Geowissenschaften und Rohstoffe (BGR),1040,0.2778846153846154,0.08461538461538462,0.09134615384615384,0.1423076923076923,0.03653846153846154,0.035576923076923075,0.09519230769230769
Bundesanstalt für Gewässerkunde,400,0.26749999999999996,0.0775,0.1075,0.1175,0.075,0.025,0.085
Bundesanstalt für Materialforschung und -prüfung,3218,0.18272218769422,0.05531385954008701,0.06432566811684276,0.06805469235550031,0.06401491609695463,0.019266625233064015,0.06991920447482909
Bundesanstalt für Straßenwesen,36,0.16666666666666663,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.1111111111111111
Bundesanstalt für Wasserbau,48,0.04166666666666663,0,0,0.020833333333333332,0,0,0.020833333333333332
Bundesforschungsanstalt für Landwirtschaft,12,0.08333333333333337,0,0.08333333333333333,0,0.08333333333333333,0,0
Bundesgesundheitsamt,1,1,0,0,0,1,0,0
Bundesinstitut für Arzneimittel und Medizinprodukte,328,0.4695121951219512,0.16158536585365854,0.21951219512195122,0.12195121951219512,0.31097560975609756,0.03048780487804878,0.11890243902439024
Bundesinstitut für Kultur und Geschichte der Deutschen im östlichen Europa,2,0,0,0,0,0,0,0
Bundesinstitut für ostwissenschaftliche und internationale Studien (BIOst),1,0,0,0,0,0,0,0
Bundesinstitut für Risikobewertung (BfR),1269,0.43104806934594164,0.16233254531126873,0.2127659574468085,0.14026792750197006,0.2647754137115839,0.03309692671394799,0.1607565011820331
Bundeszentrale für gesundheitliche Aufklärung,16,0.1875,0,0.0625,0.0625,0.0625,0,0
Deutscher Wetterdienst,716,0.638268156424581,0.40502793296089384,0.11033519553072625,0.3505586592178771,0.05726256983240224,0.11173184357541899,0.33519553072625696
Deutsches Archäologisches Institut,138,0.3115942028985508,0.09420289855072464,0.10869565217391304,0.2028985507246377,0.11594202898550725,0.028985507246376812,0.10144927536231885
Deutsches Geodätisches Forschungsinstitut,52,0.40384615384615385,0.057692307692307696,0.11538461538461539,0.3076923076923077,0,0.019230769230769232,0.09615384615384616
Deutsches Zentrum für Altersfragen,94,0.35106382978723405,0.010638297872340425,0.1276595744680851,0.10638297872340426,0.1276595744680851,0.0425531914893617,0.1276595744680851
Europäische Konferenz für Molekularbiologie (EMBO),12,0.6666666666666667,0.5,0.16666666666666666,0.25,0.5,0.25,0.16666666666666666
Forschungsanstalt Geisenheim,72,0.09722222222222221,0.027777777777777776,0.06944444444444445,0,0.05555555555555555,0,0.05555555555555555
Forstliche Versuchs- und Forschungsanstalt Baden-Württemberg (FVA),245,0.3918367346938776,0.1836734693877551,0.09387755102040816,0.20408163265306123,0.11020408163265306,0.061224489795918366,0.14285714285714285
"Friedrich-Loeffler-Institut, Bundesforschungsinstitut für Tiergesundheit",2867,0.48657132891524246,0.2413672828740844,0.1893965817928148,0.1252179979072201,0.3348447854900593,0.04464597139867457,0.20788280432507847
Germany Trade & Invest,1,0,0,0,0,0,0,0
Hessisches Landeskriminalamt,9,0.11111111111111116,0,0,0.1111111111111111,0.1111111111111111,0,0
Institut für Arbeitsmarkt- und Berufsforschung (IAB) der Bundesagentur für Arbeit (BA),399,0.45112781954887216,0.05263157894736842,0.05764411027568922,0.13533834586466165,0.2957393483709273,0.047619047619047616,0.23558897243107768
Institut für Vogelforschung - Vogelwarte Helgoland,215,0.3627906976744186,0.10232558139534884,0.13488372093023257,0.10232558139534884,0.18604651162790697,0.08837209302325581,0.10232558139534884
"Johann Heinrich von Thünen-Institut, Bundesinstitut für Ländliche Räume, Wald und Fischerei",1691,0.32111176818450626,0.1218214074512123,0.11413364872856298,0.13660555884092254,0.08160851567120048,0.05677114133648729,0.10940272028385571
"Julius Kühn-Institut, Bundesforschungsinstitut für Kulturpflanzen",1258,0.34499205087440377,0.1573926868044515,0.14546899841017488,0.08664546899841018,0.18839427662957076,0.03577106518282989,0.15659777424483307
Konrad-Zuse-Zentrum für Informationstechnik,465,0.48172043010752685,0.1053763440860215,0.0989247311827957,0.1935483870967742,0.25161290322580643,0.06881720430107527,0.16129032258064516
Länderinstitut für Bienenkunde Hohen Neuendorf e.V.,89,0.4943820224719101,0.24719101123595505,0.11235955056179775,0.2247191011235955,0.2696629213483146,0.11235955056179775,0.21348314606741572
"Landesamt für Bergbau, Energie und Geologie",91,0.07692307692307687,0.03296703296703297,0.03296703296703297,0.03296703296703297,0.02197802197802198,0,0.04395604395604396
Landesamt für Denkmalpflege Hessen,13,0.15384615384615385,0.07692307692307693,0.07692307692307693,0,0,0,0.07692307692307693
