INST_NAME,n_total,is_oa,publisher,repository,full_oa_journal,other_oa_journal,opendoar_inst,opendoar_subject,opendoar_other,other_repo
Albert-Ludwigs-Universität Freiburg im Breisgau,26102,0.47781779174009653,0.35388092866447013,0.4199678185579649,0.17826220213010496,0.1756187265343652,0.1885296145889204,0.3185579649069037,0.07275304574362118,0.19036855413378284
Bauhaus-Universität Weimar,887,0.24239007891770015,0.07553551296505073,0.21758737316798196,0.05298759864712514,0.02254791431792559,0.0992108229988726,0.10822998872604284,0.043968432919954906,0.05186020293122886
Bergische Universität Wuppertal,4291,0.5385690981123281,0.3602889769284549,0.5115357725471918,0.21277091587042649,0.14751806105802842,0.34723840596597527,0.4334653926823584,0.2495921696574225,0.3118154276392449
Brandenburgische Technische Universität Cottbus-Senftenberg,2606,0.5130468150422103,0.4205679201841903,0.4800460475825019,0.2762854950115119,0.14428242517267845,0.35686876438986953,0.39600920951650037,0.2816577129700691,0.3679969301611665
Carl von Ossietzky Universität Oldenburg,5709,0.4268698546155194,0.256612366438956,0.3834296724470135,0.15186547556489752,0.1047468908740585,0.16255035908215099,0.24697845507094063,0.043615344193378876,0.17148362235067438
Charité - Universitätsmedizin Berlin,28745,0.4526352409114629,0.3566881196729866,0.38396242824839105,0.16806401113237085,0.18862410854061576,0.17592624804313794,0.28944164202469996,0.04115498347538702,0.1648634545138285
Christian-Albrechts-Universität zu Kiel,17081,0.4286048826181137,0.30525144897839707,0.3612200690826064,0.13301328962004566,0.17223815935835138,0.14530765177682806,0.24266729114220478,0.03881505766641297,0.15367952695977988
Deutsche Sporthochschule Köln,1780,0.3202247191011236,0.23089887640449439,0.27247191011235955,0.1556179775280899,0.07528089887640449,0.09044943820224718,0.1797752808988764,0.02247191011235955,0.15168539325842698
Deutsche Universität für Verwaltungswissenschaften Speyer,56,0.1607142857142857,0.017857142857142856,0.16071428571428573,0,0.017857142857142856,0.07142857142857142,0.03571428571428571,0,0.08928571428571429
Eberhard Karls Universität Tübingen,27366,0.4834100708908865,0.36004531170065046,0.4128480596360447,0.1745596725864211,0.18548563911422933,0.1445224000584667,0.31933786450339835,0.0457502009793174,0.17876196740480887
EBS Universität für Wirtschaft und Recht,281,0.15302491103202842,0.042704626334519574,0.13167259786476868,0.014234875444839857,0.028469750889679714,0.09608540925266904,0.03558718861209965,0.010676156583629894,0.06405693950177936
Ernst-Moritz-Arndt-Universität Greifswald,8208,0.39522417153996103,0.283869395711501,0.34417641325536064,0.15119395711500974,0.13267543859649122,0.12037037037037036,0.2581627680311891,0.056530214424951264,0.13767056530214425
ESCP Europe Wirtschaftshochschule Berlin e.V.,107,0.16822429906542058,0.037383177570093455,0.16822429906542055,0,0.037383177570093455,0.14018691588785046,0,0.009345794392523364,0.037383177570093455
Europa-Universität Flensburg,83,0.24096385542168675,0.1566265060240964,0.20481927710843373,0.060240963855421686,0.0963855421686747,0.0963855421686747,0.12048192771084337,0.012048192771084338,0.08433734939759036
Europa-Universität Viadrina Frankfurt (Oder),427,0.25761124121779855,0.07494145199063232,0.24824355971896955,0.06088992974238876,0.01405152224824356,0.0936768149882904,0.1522248243559719,0.02107728337236534,0.10772833723653395
FernUniversität in Hagen,735,0.27210884353741494,0.12244897959183673,0.23809523809523808,0.07346938775510205,0.04897959183673469,0.0707482993197279,0.1673469387755102,0.02857142857142857,0.09931972789115646
Frankfurt School of Finance & Management,313,0.32907348242811496,0.08306709265175719,0.2971246006389776,0.02875399361022364,0.054313099041533544,0.12779552715654952,0.16932907348242812,0.025559105431309903,0.12779552715654952
Freie Universität Berlin,17521,0.457508133097426,0.2715027681068432,0.4147023571713943,0.14165858113121396,0.12984418697562924,0.2548370526796416,0.2561497631413732,0.05667484732606586,0.17430511957080075
Friedrich-Alexander-Universität Erlangen-Nürnberg,27537,0.42462868141046595,0.2668772923702655,0.3745142898645459,0.11951192940407451,0.14736536296619093,0.1942114246286814,0.2575443948142499,0.04034571667211388,0.14609434578930167
Friedrich-Schiller-Universität Jena,18886,0.38933601609657953,0.26374033675738645,0.33739277771894527,0.13152599809382612,0.1322143386635603,0.10134491157471143,0.24245472837022133,0.04505983268029228,0.1413745631684846
Georg-August-Universität Göttingen,26459,0.5027778827620091,0.3679655315771571,0.44567066026682794,0.1674288521864016,0.2005366793907555,0.16474545523262407,0.33376166899731663,0.0984920065006236,0.19891152348917193
Gottfried Wilhelm Leibniz Universität Hannover,9345,0.41144997324772603,0.18587479935794543,0.3897271268057785,0.09288389513108614,0.09299090422685928,0.23552701979668272,0.24761904761904763,0.06805778491171749,0.13879079721776352
HafenCity Universität Hamburg,84,0.2857142857142857,0.19047619047619047,0.25,0.17857142857142858,0.011904761904761904,0.09523809523809523,0.03571428571428571,0.023809523809523808,0.17857142857142858
Heinrich-Heine-Universität Düsseldorf,16538,0.47012939895997097,0.33831176684000486,0.4028903132180433,0.16313943644938927,0.17517233039061555,0.1332083686056355,0.31243197484580965,0.03845688716894425,0.16942798403676382
Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg,793,0.2433795712484237,0.10718789407313997,0.21563682219419925,0.06683480453972257,0.0403530895334174,0.08448928121059268,0.12610340479192939,0.018915510718789406,0.09079445145018916
Hertie School of Governance,277,0.3249097472924187,0.1407942238267148,0.2779783393501805,0.05415162454873646,0.08664259927797834,0.20938628158844766,0.061371841155234655,0.02527075812274368,0.11552346570397112
Humboldt-Universität zu Berlin,15728,0.5005722278738556,0.3154883011190234,0.46134282807731436,0.17109613428280773,0.14439216683621567,0.22812817904374363,0.3430824008138352,0.11559003051881994,0.2278738555442523
International Psychoanalytic University Berlin,146,0.26027397260273977,0.19863013698630136,0.23972602739726026,0.17123287671232876,0.0273972602739726,0.1232876712328767,0.1780821917808219,0.00684931506849315,0.14383561643835616
International University in Germany gGmbH i.L.,3,0.6666666666666667,0,0.6666666666666666,0,0,0,0,0,0.6666666666666666
Jacobs University Bremen,2752,0.4160610465116279,0.2539970930232558,0.38117732558139533,0.1373546511627907,0.11664244186046512,0.13154069767441862,0.2703488372093023,0.04614825581395349,0.15079941860465115
"Johann Wolfgang Goethe-Universität, Frankfurt am Main",24080,0.4639119601328904,0.3033637873754153,0.4104651162790698,0.1449750830564784,0.15838870431893687,0.19584717607973423,0.3107142857142857,0.046511627906976744,0.1625
Johannes Gutenberg-Universität Mainz,22351,0.4870028186658315,0.3326920495727261,0.4375643147957586,0.1732360968189343,0.15945595275379176,0.18446601941747573,0.3409690841573084,0.08948145496845779,0.19005861035300434
Julius-Maximilians-Universität Würzburg,19629,0.511640939426359,0.37077793061286873,0.45687503184064393,0.1812624178511386,0.1895155127617301,0.24789851749961792,0.35788883794385856,0.07764022619593458,0.21534464313006266
